note_a_l_ecrit;longitude;nbre_eleves_segpa;nbre_eleves_ulis;effectifs_filles;effectifs_garcons
8.2;3.221770488548698;60;10;294;334
9.1;3.8541700721384133;0;13;242;270
10.6;3.8541700721384133;0;13;242;270
10.3;3.817089710403796;0;12;289;275
9.7;3.817089710403796;0;12;289;275
9.8;3.847929799069605;47;9;305;317
10.0;3.847929799069605;47;9;305;317
6.6;3.821649566521723;54;12;373;368
8.4;3.821649566521723;54;12;373;368
9.3;3.821589730549983;63;12;358;381
8.1;3.821589730549983;63;12;358;381
7.0;2.8914941897288076;57;23;309;318
8.2;2.8914941897288076;57;23;309;318
9.4;2.868556885532539;0;16;188;212
8.3;2.868556885532539;0;16;188;212
10.6;2.888789901455317;0;0;229;214
9.5;2.888789901455317;0;0;229;214
11.7;2.8994341863692275;0;17;368;427
10.1;2.8994341863692275;0;17;368;427
8.6;2.9089852068360944;0;0;157;169
7.9;2.9089852068360944;0;0;157;169
7.2;2.8831061091102734;54;15;312;337
8.5;2.8831061091102734;54;15;312;337
9.9;1.8527298202476252;0;0;124;123
10.4;1.8527298202476252;0;0;124;123
11.8;1.326339574596636;0;16;261;317
11.8;1.326339574596636;0;16;261;317
9.8;1.334460201776182;77;0;362;406
9.6;1.334460201776182;77;0;362;406
8.9;1.4407104510772466;58;17;281;373
9.7;1.4407104510772466;58;17;281;373
7.7;1.4366705597466425;62;0;271;263
7.9;1.4366705597466425;62;0;271;263
9.7;-2.0739896646570566;0;11;181;172
11.3;-2.0739896646570566;0;11;181;172
12.6;-1.5841005962595762;59;24;377;409
10.8;-1.5841005962595762;59;24;377;409
10.4;-1.5406446092020099;48;0;198;227
11.1;-1.5406446092020099;48;0;198;227
9.4;-1.569730300413915;0;0;235;221
9.4;-1.569730300413915;0;0;235;221
8.4;-1.6056305962624915;0;0;134;122
8.2;-1.6056305962624915;0;0;134;122
9.3;-1.5361600679820884;0;0;159;153
10.0;-1.5361600679820884;0;0;159;153
11.7;-1.593531280363919;0;0;324;309
12.2;-1.593531280363919;0;0;324;309
9.4;-1.6136695405072288;54;12;227;265
8.6;-1.6136695405072288;54;12;227;265
10.7;-2.2233097759081866;60;13;347;330
10.3;-2.2233097759081866;60;13;347;330
7.7;-0.5268601217896858;0;0;124;117
9.8;-0.5268601217896858;0;0;124;117
11.3;-0.5970005279921484;0;0;291;345
10.1;-0.5970005279921484;0;0;291;345
10.1;-0.8862803545470918;60;0;171;186
9.8;-0.8862803545470918;60;0;171;186
9.5;-0.07829002585335135;0;12;135;135
9.7;-0.07829002585335135;0;12;135;135
8.9;0.22216511837908892;64;0;176;178
9.6;0.22216511837908892;64;0;176;178
11.5;0.1805152793431396;0;7;249;257
12.3;0.1805152793431396;0;7;249;257
10.5;0.1976884716282042;64;13;213;220
9.4;0.1976884716282042;64;13;213;220
9.3;6.237060584123931;0;0;199;190
10.7;6.237060584123931;0;0;199;190
8.5;5.787123117417129;0;13;164;173
10.4;5.787123117417129;0;13;164;173
9.1;5.419359963845442;0;13;250;283
10.1;5.419359963845442;0;13;250;283
8.6;5.4701298149777315;0;11;191;187
9.9;5.4701298149777315;0;11;191;187
10.4;4.984210014527683;96;0;326;363
9.2;4.984210014527683;96;0;326;363
6.3;5.38785964493626;0;9;135;175
8.1;5.38785964493626;0;9;135;175
7.3;5.365884347481156;0;9;294;282
9.0;5.365884347481156;0;9;294;282
7.4;5.369271084312032;0;13;252;254
9.0;5.369271084312032;0;13;252;254
8.6;5.379561803755705;0;0;272;301
8.4;5.379561803755705;0;0;272;301
9.1;5.031266668352428;59;0;284;308
10.6;5.031266668352428;59;0;284;308
8.6;4.662029851916059;67;0;392;374
8.8;4.662029851916059;67;0;392;374
8.6;5.250809992084071;0;0;247;251
7.2;5.250809992084071;0;0;247;251
9.8;5.047102900177587;0;13;321;337
10.9;5.047102900177587;0;13;321;337
9.5;4.873883399735772;0;12;205;193
10.2;4.873883399735772;0;12;205;193
9.8;5.005314177299518;50;0;258;278
10.3;5.005314177299518;50;0;258;278
12.1;7.196883172175359;30;23;384;419
10.2;7.196883172175359;30;23;384;419
9.3;6.922150382885586;0;0;247;252
10.6;6.922150382885586;0;0;247;252
9.6;7.055986940991657;52;21;394;384
8.9;7.055986940991657;52;21;394;384
10.0;6.071707310398736;0;0;327;341
10.3;6.071707310398736;0;0;327;341
8.7;5.9347041399016085;0;0;288;292
10.5;5.9347041399016085;0;0;288;292
9.8;3.4542099569016824;64;11;356;326
11.7;3.4542099569016824;64;11;356;326
9.8;2.5925800816384736;0;0;139;126
8.1;2.5925800816384736;0;0;139;126
7.2;3.0950697983947135;0;23;201;209
8.6;3.0950697983947135;0;23;201;209
8.3;5.730740310609724;59;14;218;192
9.1;5.730740310609724;59;14;218;192
8.2;4.92644189871169;0;14;224;213
9.7;4.92644189871169;0;14;224;213
10.1;5.24540999711648;90;0;278;270
10.8;5.24540999711648;90;0;278;270
9.9;4.0530801064527004;62;13;337;308
11.4;4.0530801064527004;62;13;337;308
9.9;4.074189363998615;0;0;141;137
8.9;4.074189363998615;0;0;141;137
10.4;4.51173782637113;0;13;209;211
9.7;4.51173782637113;0;13;209;211
9.7;4.408860006920129;50;0;126;147
9.9;4.408860006920129;50;0;126;147
10.4;4.749254142615913;56;13;382;376
11.5;4.749254142615913;56;13;382;376
9.8;4.9145618813352545;0;11;213;216
9.9;4.9145618813352545;0;11;213;216
8.9;4.975196301146557;63;12;264;361
10.1;4.975196301146557;63;12;264;361
7.6;4.855460398189426;62;14;399;416
8.9;4.855460398189426;62;14;399;416
9.3;4.92880538362763;0;12;253;302
8.4;4.92880538362763;0;12;253;302
8.0;4.872875990843281;0;13;389;398
9.8;4.872875990843281;0;13;389;398
7.9;4.891154691482821;41;4;296;301
8.8;4.891154691482821;41;4;296;301
9.7;4.903774500573558;0;0;198;210
8.4;4.903774500573558;0;0;198;210
10.1;6.849090225779805;81;0;295;287
9.5;6.849090225779805;81;0;295;287
8.7;6.80400939043247;0;0;191;177
8.4;6.80400939043247;0;0;191;177
8.2;6.791109347380717;64;12;356;358
8.9;6.791109347380717;64;12;356;358
8.8;6.169519556206805;110;7;261;306
10.3;6.169519556206805;110;7;261;306
12.4;3.683490280380998;0;0;65;64
9.8;3.1325601863409216;0;22;198;190
8.0;3.1325601863409216;0;22;198;190
9.4;3.1584886205988747;0;24;211;184
9.5;3.1584886205988747;0;24;211;184
10.8;4.305599750951092;55;12;215;257
9.7;4.305599750951092;55;12;215;257
8.7;3.42230229289232;0;11;236;244
10.1;3.42230229289232;0;11;236;244
11.0;-4.482439921418086;0;13;241;216
11.1;-4.482439921418086;0;13;241;216
12.2;-4.540690061781384;65;0;211;169
11.2;-4.540690061781384;65;0;211;169
10.9;-4.131380514595773;55;12;243;207
8.6;-4.131380514595773;55;12;243;207
7.4;-1.7146799912092223;58;11;277;257
8.0;-1.7146799912092223;58;11;277;257
10.9;0.5886605594087218;0;13;226;231
9.8;0.5886605594087218;0;13;226;231
8.8;-1.6298799572344473;52;0;166;176
10.7;-1.6298799572344473;52;0;166;176
12.7;-1.27119995876091;0;0;73;68
10.7;0.10235953320276274;0;6;156;187
10.7;0.10235953320276274;0;6;156;187
10.6;-0.016470583940718663;0;12;235;193
11.9;-0.016470583940718663;0;12;235;193
10.1;0.9544640124609372;0;0;260;259
10.9;0.9544640124609372;0;0;260;259
8.7;0.48505623165713097;65;14;308;332
8.7;0.48505623165713097;65;14;308;332
9.0;0.1223226050896545;43;14;193;194
7.9;0.1223226050896545;43;14;193;194
9.6;1.1010069913550966;49;0;184;221
11.1;1.1010069913550966;49;0;184;221
11.5;1.0680494706698562;0;0;117;139
9.1;1.0680494706698562;0;0;117;139
10.0;1.2990041723447758;27;11;315;265
11.4;1.2990041723447758;27;11;315;265
11.8;-0.5771063716112431;0;0;188;174
12.8;-0.5771063716112431;0;0;188;174
9.6;-0.5656659963993367;0;0;246;231
8.9;-0.5656659963993367;0;0;246;231
10.7;-0.05064459442194146;0;15;228;189
9.6;-0.05064459442194146;0;15;228;189
9.4;-0.5007480155494959;0;13;276;306
10.2;-0.5007480155494959;0;13;276;306
10.5;-0.6251662358374172;47;12;180;172
9.4;-0.6251662358374172;47;12;180;172
10.8;-0.3426021927729051;58;12;417;428
11.5;-0.3426021927729051;58;12;417;428
9.3;1.4938800334320828;56;12;202;229
8.6;1.4938800334320828;56;12;202;229
10.6;1.272164068477409;64;12;328;393
11.0;1.272164068477409;64;12;328;393
8.9;1.2417444828452684;0;12;265;235
9.7;1.2417444828452684;0;12;265;235
8.0;0.12847421626497582;0;0;120;119
7.2;0.12847421626497582;0;0;120;119
9.5;-0.9618604247561143;69;11;192;230
10.3;-0.9618604247561143;69;11;192;230
9.2;3.0061500163371266;63;29;344;391
9.0;3.0061500163371266;63;29;344;391
8.7;3.000819794519885;62;0;332;337
9.7;3.000819794519885;62;0;332;337
9.8;4.613679404873639;0;12;406;390
11.2;4.613679404873639;0;12;406;390
10.4;4.616229962459126;0;24;326;279
11.1;4.616229962459126;0;24;326;279
9.8;4.637780315203951;0;23;269;298
10.2;4.637780315203951;0;23;269;298
11.2;4.355359648642355;0;12;212;233
13.1;4.355359648642355;0;12;212;233
10.8;4.391109100659875;58;13;248;283
10.5;4.391109100659875;58;13;248;283
8.9;4.384729621593309;61;12;266;299
9.4;4.384729621593309;61;12;266;299
9.8;4.197789695878007;0;12;200;186
8.8;4.197789695878007;0;12;200;186
10.3;3.817089710403796;0;14;296;309
